mean_loss,mean_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
-4.7683716e-07,0.5,0.11559128761291504,False,,,36,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-50,1623178910,4.8872151374816895,164835,timo-ThinkPad-P1,192.168.0.13,4.8872151374816895,0,36,942ba_00143
-3.5762787e-07,0.5,0.09371781349182129,False,,,37,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-50,1623178910,4.980932950973511,164835,timo-ThinkPad-P1,192.168.0.13,4.980932950973511,0,37,942ba_00143
-9.536743e-07,0.5,0.1055917739868164,False,,,38,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-50,1623178910,5.086524724960327,164835,timo-ThinkPad-P1,192.168.0.13,5.086524724960327,0,38,942ba_00143
-1.4305115e-06,0.5,0.12677288055419922,False,,,39,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-50,1623178910,5.213297605514526,164835,timo-ThinkPad-P1,192.168.0.13,5.213297605514526,0,39,942ba_00143
-9.536743e-07,0.5,0.16435742378234863,False,,,40,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-50,1623178910,5.377655029296875,164835,timo-ThinkPad-P1,192.168.0.13,5.377655029296875,0,40,942ba_00143
-9.536743e-07,0.5,0.15865564346313477,False,,,41,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-50,1623178910,5.53631067276001,164835,timo-ThinkPad-P1,192.168.0.13,5.53631067276001,0,41,942ba_00143
-1.9073486e-06,0.5,0.20001006126403809,False,,,42,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-51,1623178911,5.736320734024048,164835,timo-ThinkPad-P1,192.168.0.13,5.736320734024048,0,42,942ba_00143
-1.1920929e-06,0.5,0.13439011573791504,False,,,43,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-51,1623178911,5.870710849761963,164835,timo-ThinkPad-P1,192.168.0.13,5.870710849761963,0,43,942ba_00143
-1.9073486e-06,0.5,0.1447596549987793,False,,,44,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-51,1623178911,6.015470504760742,164835,timo-ThinkPad-P1,192.168.0.13,6.015470504760742,0,44,942ba_00143
-1.66893e-06,0.5,0.12189221382141113,False,,,45,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-51,1623178911,6.137362718582153,164835,timo-ThinkPad-P1,192.168.0.13,6.137362718582153,0,45,942ba_00143
-2.026558e-06,0.5,0.10190057754516602,False,,,46,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-51,1623178911,6.239263296127319,164835,timo-ThinkPad-P1,192.168.0.13,6.239263296127319,0,46,942ba_00143
-1.5497208e-06,0.5,0.0998847484588623,False,,,47,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-51,1623178911,6.339148044586182,164835,timo-ThinkPad-P1,192.168.0.13,6.339148044586182,0,47,942ba_00143
-3.0994415e-06,0.5,0.09086465835571289,False,,,48,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-51,1623178911,6.4300127029418945,164835,timo-ThinkPad-P1,192.168.0.13,6.4300127029418945,0,48,942ba_00143
-2.6226044e-06,0.5,0.10392427444458008,False,,,49,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-51,1623178911,6.533936977386475,164835,timo-ThinkPad-P1,192.168.0.13,6.533936977386475,0,49,942ba_00143
-3.5762787e-06,0.5,0.08769941329956055,False,,,50,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-52,1623178912,6.621636390686035,164835,timo-ThinkPad-P1,192.168.0.13,6.621636390686035,0,50,942ba_00143
-3.33786e-06,0.5,0.2548847198486328,False,,,51,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-52,1623178912,6.876521110534668,164835,timo-ThinkPad-P1,192.168.0.13,6.876521110534668,0,51,942ba_00143
-3.5762787e-06,0.5,0.08643174171447754,False,,,52,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-52,1623178912,6.9629528522491455,164835,timo-ThinkPad-P1,192.168.0.13,6.9629528522491455,0,52,942ba_00143
-4.529953e-06,0.5,0.0964047908782959,False,,,53,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-52,1623178912,7.059357643127441,164835,timo-ThinkPad-P1,192.168.0.13,7.059357643127441,0,53,942ba_00143
-4.4107437e-06,0.5,0.10145211219787598,False,,,54,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-52,1623178912,7.160809755325317,164835,timo-ThinkPad-P1,192.168.0.13,7.160809755325317,0,54,942ba_00143
-5.9604645e-06,0.5,0.0928182601928711,False,,,55,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-52,1623178912,7.2536280155181885,164835,timo-ThinkPad-P1,192.168.0.13,7.2536280155181885,0,55,942ba_00143
-5.00679e-06,0.5,0.09995532035827637,False,,,56,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-52,1623178912,7.353583335876465,164835,timo-ThinkPad-P1,192.168.0.13,7.353583335876465,0,56,942ba_00143
